trip_id,split,n_frames,frame_id_first,frame_id_last,frame_ids_contiguous,timestamps_monotonic,timestamp_step_median_sec,timestamp_step_min_sec,timestamp_step_max_sec,duration_metadata_sec,duration_observed_sec,fps_metadata,description,description_seconds,left_count,right_count,driver_count,depth_count,calib_count,label_count,left_ids_contiguous,right_ids_contiguous,driver_ids_contiguous,calib_ids_contiguous,label_ids_contiguous,image_size,image_format,images_checked,invalid_images,fx,baseline_m,n_events,event_types,target_classes,finite_gt_count,gt_lt_3_count,gt_lt_2_count,gt_lt_1_5_count,gt_lt_3_episodes,gt_lt_2_episodes,depth_shape,depth_dtype,depth_all_zero_count,depth_all_zero_ranges,depth_all_sentinel_count,depth_all_sentinel_ranges,depth_zero_ratio,depth_sentinel_ratio,depth_nonfinite_ratio,depth_valid_ratio,depth_valid_median_of_keyframes_m,depth_valid_min_m,depth_valid_max_m
T01-Sample,practice,600,0,599,True,True,0.05,0.05,0.05,30,30.0,20,"Urban daytime, pedestrian jaywalk only",,600,600,600,120,600,600,True,True,True,True,True,640x360,JPEG,1800,0,320.00000000000006,0.3,1,pedestrian_jaywalk,vehicle:6374;walker:755,57,12,10,7,2,2,360x640:120,float32:120,0,,0,,0.0,0.06321893,0.0,0.93678107,17.9642,2.2478,422.1823
T02-Sample,practice,600,0,599,True,True,0.05,0.05,0.05,30,30.0,20,"Highway evening, motorcycle cut-in only",,600,600,600,120,600,600,True,True,True,True,True,640x360,JPEG,1800,0,320.00000000000006,0.3,1,motorcycle_cut_in,bike:247;vehicle:4286,35,19,18,18,1,1,360x640:120,float32:120,0,,0,,0.0,0.32822866,0.0,0.67177134,7.973,1.791,998.9943
T03-Sample,practice,600,0,599,True,True,0.05,0.05,0.05,30,30.0,20,"Highway night, heavy rain, lead brake only",,600,600,600,120,600,600,True,True,True,True,True,640x360,JPEG,1800,0,320.00000000000006,0.3,1,lead_brake,vehicle:575,61,32,29,26,2,2,360x640:120,float32:120,0,,0,,0.0,0.28335894,0.0,0.71664106,7.6395,0.9298,998.9777
T04-Sample,practice,600,0,599,True,True,0.05,0.05,0.05,30,30.0,20,"Mixed roads daytime, stopped vehicle ahead only",,600,600,600,120,600,600,True,True,True,True,True,640x360,JPEG,1800,0,320.00000000000006,0.3,1,stopped_vehicle_ahead,vehicle:1442;walker:356,121,76,52,30,2,2,360x640:120,float32:120,0,,0,,0.0,0.28945689,0.0,0.71054311,7.152,2.4494,503.0816
T05-Sample,practice,600,0,599,True,True,0.05,0.05,0.05,30,30.0,20,"Rural monotonous drive, pedestrian jaywalk + lead brake",,600,600,600,120,600,600,True,True,True,True,True,640x360,JPEG,1800,0,320.00000000000006,0.3,2,pedestrian_jaywalk;lead_brake,vehicle:796;walker:169,66,47,35,13,3,3,360x640:120,float32:120,0,,0,,0.0,0.22473995,0.0,0.77526005,9.138,1.8886,236.2444
T06-Sample,practice,600,0,599,True,True,0.05,0.05,0.05,30,30.0,20,"Midday intersection, moderate rain, motorcycle cut-in + stopped vehicle ahead",,600,600,600,120,600,600,True,True,True,True,True,640x360,JPEG,1800,0,320.00000000000006,0.3,2,motorcycle_cut_in;stopped_vehicle_ahead,bike:299;vehicle:6305;walker:206,262,97,60,42,3,3,360x640:120,float32:120,0,,0,,0.0,0.28182664,0.0,0.71817336,8.0333,1.5835,998.4855
T01d,scored,1800,0,1799,True,True,0.05,0.05,0.05,90,90.0,20,"DEBUG 30s: highway evening, motorcycle cut-in + mild lead brake (compressed)",30,1800,1800,1800,360,1800,1800,True,True,True,True,True,640x360,JPEG,5400,0,320.00000000000006,0.3,2,motorcycle_cut_in;lead_brake,bike:188;vehicle:21005;walker:11652,0,0,0,0,0,0,360x640:360,float32:360,117,1215;1220;1225;1230;1235;1240;1245;1250;1255;1260;1265;1270;1275;1280;1285;1290;1295;1300;1305;1310;1315;1320;1325;1330;1335;1340;1345;1350;1355;1360;1365;1370;1375;1380;1385;1390;1395;1400;1405;1410;1415;1420;1425;1430;1435;1440;1445;1450;1455;1460;1465;1470;1475;1480;1485;1490;1495;1500;1505;1510;1515;1520;1525;1530;1535;1540;1545;1550;1555;1560;1565;1570;1575;1580;1585;1590;1595;1600;1605;1610;1615;1620;1625;1630;1635;1640;1645;1650;1655;1660;1665;1670;1675;1680;1685;1690;1695;1700;1705;1710;1715;1720;1725;1730;1735;1740;1745;1750;1755;1760;1765;1770;1775;1780;1785;1790;1795,0,,0.325,0.19287909,0.0,0.48212091,7.2563,1.7908,998.999
T02d,scored,1800,0,1799,True,True,0.05,0.05,0.05,90,90.0,20,"DEBUG 30s: suburban rain, pedestrian jaywalk + lead brake (compressed)",30,1800,1800,1800,360,1800,1800,True,True,True,True,True,640x360,JPEG,5400,0,320.00000000000006,0.3,3,lead_brake;pedestrian_jaywalk;stopped_vehicle_ahead,vehicle:22117;walker:5389,0,0,0,0,0,0,360x640:360,float32:360,0,,0,,0.0,0.30641135,0.0,0.69358865,7.6984,1.4298,468.7253
T03d,scored,1800,0,1799,True,True,0.05,0.05,0.05,90,90.0,20,"DEBUG 30s: urban rush hour, cut-in + jaywalk during distraction (compressed)",30,1800,1800,1800,360,1800,1800,True,True,True,True,True,640x360,JPEG,5400,0,320.00000000000006,0.3,3,motorcycle_cut_in;pedestrian_jaywalk;stopped_vehicle_ahead,bike:300;vehicle:24394;walker:41422,0,0,0,0,0,0,360x640:360,float32:360,0,,0,,0.0,0.03696766,0.0,0.96303234,16.9462,1.6711,422.1823
T04d,scored,1800,0,1799,True,True,0.05,0.05,0.05,90,90.0,20,"DEBUG 30s: foggy dawn highway, stopped vehicle in fog + cut-in (compressed)",30,1800,1800,1800,360,1800,1800,True,True,True,True,True,640x360,JPEG,5400,0,320.00000000000006,0.3,3,motorcycle_cut_in;pedestrian_jaywalk;stopped_vehicle_ahead,bike:160;vehicle:2890;walker:2040,0,0,0,0,0,0,360x640:360,float32:360,0,,0,,0.0,0.3341025,0.0,0.6658975,6.8536,1.2037,998.9923
