frame_id,track_id,overlay_box_index,depth_m,candidate_ttc,ground_truth_ttc,ground_confidence,closing_speed_mps,motion_residual_m,yolo_matched_class,yolo_matched_confidence,iou,semantic_score,misses,selected_center_x_norm,selected_bottom_y_norm,selected_width_norm,selected_height_norm,is_gt_danger_frame,label,annotator_notes
309,138,1,8.678,0.325,1.924,0.377,26.713,0.519,,,,0.0000,45,0.4313,0.7917,0.4750,0.4306,1,,
310,138,1,8.348,0.312,1.730,0.461,26.713,0.664,,,,0.0000,46,0.4234,0.8278,0.4938,0.4694,1,,
311,138,1,11.130,0.503,1.547,0.527,22.147,0.681,,,,0.0000,47,0.3797,0.7194,0.3000,0.3250,1,,
312,138,1,9.253,0.512,1.388,0.613,18.085,0.658,,,,0.0000,48,0.3617,0.7889,0.3328,0.3861,1,,
312,160,2,76.800,inf,1.388,0.613,-19.948,0.831,,,,0.0000,2,0.6406,0.5000,0.0688,0.1028,1,,
313,138,1,9.783,1.095,1.252,0.478,8.933,0.977,,,,0.0000,49,0.3688,0.7611,0.3250,0.3694,1,,
313,156,2,6.095,inf,1.252,0.478,-8.045,0.545,,,,0.0000,2,0.4766,0.7056,0.0437,0.0417,1,,
313,157,3,6.000,inf,1.252,0.478,-7.797,0.610,,,,0.0000,3,0.6844,0.7083,0.1375,0.0444,1,,
313,160,4,66.783,inf,1.252,0.478,-6.649,1.662,,,,0.0000,3,0.6328,0.5083,0.0938,0.1167,1,,
314,138,1,9.143,1.853,1.124,0.455,4.935,1.087,,,,0.0000,50,0.4359,0.7917,0.4844,0.4333,1,,
315,138,1,9.600,1.516,1.012,0.523,6.333,0.774,,,,0.0000,51,0.4398,0.7778,0.4797,0.4194,1,,
316,138,1,8.678,1.993,0.907,0.552,4.354,0.423,,,,0.0000,52,0.4328,0.7889,0.4781,0.4250,1,,
317,138,1,9.423,5.153,0.809,0.464,1.829,0.549,,,,0.0000,53,0.4422,0.7000,0.4062,0.3194,1,,
318,138,1,9.481,12.000,0.721,0.545,0.790,0.399,,,,0.0000,54,0.4031,0.7694,0.4000,0.3750,1,,
319,138,1,8.727,inf,0.646,0.375,-0.099,0.525,,,,0.0000,55,0.3445,0.7056,0.2234,0.3194,1,,
320,138,1,10.593,inf,0.613,0.449,-0.681,0.496,,,,0.0000,56,0.3742,0.7694,0.3422,0.4028,1,,
321,138,1,10.593,inf,0.579,0.508,-0.000,0.339,,,,0.0000,57,0.4555,0.7083,0.4453,0.3472,1,,
322,138,1,9.722,inf,0.544,0.543,-1.193,0.296,,,,0.0000,58,0.4437,0.7667,0.4781,0.3917,1,,
323,138,1,9.035,inf,0.509,0.469,-0.347,0.389,,,,0.0000,59,0.4375,0.7917,0.4875,0.4167,1,,
324,138,1,8.084,inf,0.473,0.461,-0.000,0.388,,,,0.0000,60,0.4391,0.7722,0.4750,0.4139,1,,
330,169,1,7.493,inf,0.236,0.302,-16.159,0.703,,,,0.0000,2,0.3961,0.6639,0.0359,0.0472,1,,
331,169,1,6.047,inf,0.192,0.350,-12.802,0.177,,,,0.0000,3,0.3617,0.7167,0.0547,0.0389,1,,
332,169,1,6.827,inf,0.148,0.271,-13.509,0.177,,,,0.0000,4,0.3148,0.6917,0.1516,0.1667,1,,
3,2,1,12.190,6.200,inf,0.533,1.966,0.197,,,,0.0000,2,0.3055,0.5917,0.0422,0.0861,0,,
5,2,1,12.190,inf,inf,0.453,-0.000,0.000,,,,0.0000,4,0.3336,0.5861,0.0953,0.0972,0,,
7,2,1,12.488,inf,inf,0.356,-0.000,0.049,,,,0.0000,6,0.3648,0.5917,0.1578,0.1167,0,,
9,2,1,29.538,inf,inf,0.536,-1.393,0.204,,,,0.0000,8,0.3656,0.5917,0.1625,0.1694,0,,
11,2,1,12.288,inf,inf,0.540,-0.244,0.085,,,,0.0000,10,0.2969,0.5917,0.0219,0.0417,0,,
11,4,2,31.347,inf,inf,0.540,-52.714,2.263,,,,0.0000,4,0.3852,0.5250,0.1328,0.0972,0,,
13,4,1,24.774,2.531,inf,0.510,9.788,7.498,,,,0.0000,6,0.3656,0.5944,0.1625,0.1139,0,,
15,2,1,12.288,inf,inf,0.545,-0.000,0.098,,,,0.0000,13,0.3023,0.5917,0.0359,0.0722,0,,
15,4,2,34.909,42.977,inf,0.545,0.812,7.498,,,,0.0000,8,0.3844,0.5389,0.1313,0.0639,0,,
17,2,1,12.190,20.500,inf,0.606,0.595,0.059,,,,0.0000,15,0.2969,0.5972,0.0312,0.0639,0,,
17,4,2,32.681,2.236,inf,0.606,14.614,3.653,,,,0.0000,10,0.3781,0.5306,0.1281,0.0972,0,,
19,2,1,12.190,18.750,inf,0.627,0.650,0.070,,,,0.0000,16,0.2984,0.5972,0.0344,0.0417,0,,
19,4,2,24.774,0.740,inf,0.627,33.494,4.557,,,,0.0000,12,0.3844,0.5417,0.1500,0.0972,0,,
21,2,1,12.288,25.200,inf,0.650,0.488,0.073,,,,0.0000,17,0.3008,0.5917,0.0328,0.0361,0,,
21,4,2,24.000,1.461,inf,0.650,16.432,4.108,,,,0.0000,14,0.3812,0.5417,0.1250,0.0694,0,,
23,4,1,22.925,0.936,inf,0.616,24.490,2.558,,,,0.0000,16,0.3641,0.5417,0.1031,0.0444,0,,
25,4,1,22.261,1.435,inf,0.603,15.515,2.329,,,,0.0000,18,0.3641,0.5944,0.1625,0.2083,0,,
27,2,1,12.488,inf,inf,0.549,-0.000,0.098,,,,0.0000,19,0.3133,0.5889,0.0547,0.0333,0,,
27,4,2,24.000,6.200,inf,0.549,3.871,0.968,,,,0.0000,20,0.3828,0.5500,0.1219,0.1028,0,,
29,4,1,24.000,inf,inf,0.477,-0.000,1.075,,,,0.0000,22,0.3766,0.5444,0.1281,0.0583,0,,
31,4,1,20.480,7.705,inf,0.478,2.658,1.208,,,,0.0000,23,0.3766,0.5528,0.1313,0.0833,0,,
33,4,1,22.588,3.805,inf,0.418,5.936,1.475,,,,0.0000,25,0.3570,0.5583,0.0984,0.0722,0,,
35,4,1,21.634,2.267,inf,0.420,9.544,1.459,,,,0.0000,27,0.3633,0.5889,0.1547,0.2222,0,,
37,20,1,56.889,inf,inf,0.447,-29.566,1.427,,,,0.0000,3,0.4266,0.4917,0.0344,0.0944,0,,
39,4,1,24.381,inf,inf,0.574,-0.000,2.191,,,,0.0000,30,0.3438,0.5250,0.0594,0.0361,0,,
41,4,1,20.480,inf,inf,0.495,-0.000,1.154,,,,0.0000,32,0.3578,0.6000,0.1531,0.1611,0,,
43,4,1,22.588,inf,inf,0.555,-1.976,1.448,,,,0.0000,34,0.3484,0.5389,0.0531,0.0528,0,,
43,20,2,56.889,inf,inf,0.555,-26.462,3.179,,,,0.0000,7,0.4242,0.3972,0.0297,0.0389,0,,
45,4,1,23.273,inf,inf,0.631,-6.979,1.731,,,,0.0000,36,0.3688,0.5833,0.1313,0.1528,0,,
45,20,2,52.966,inf,inf,0.631,-18.963,1.193,,,,0.0000,9,0.4180,0.4139,0.0234,0.0333,0,,
47,4,1,19.443,18.038,inf,0.575,1.078,1.706,,,,0.0000,38,0.3578,0.5972,0.1500,0.1361,0,,
49,4,1,23.631,5.538,inf,0.479,4.267,2.292,,,,0.0000,40,0.3609,0.6000,0.1594,0.2389,0,,
51,4,1,18.732,4.881,inf,0.508,3.837,0.627,,,,0.0000,42,0.3602,0.5972,0.1547,0.1250,0,,
53,4,1,19.176,3.052,inf,0.449,6.283,1.547,,,,0.0000,44,0.3383,0.5583,0.0672,0.0583,0,,
53,20,2,37.463,1.449,inf,0.449,25.859,4.277,,,,0.0000,14,0.4039,0.4167,0.0359,0.0583,0,,
