frame_id,timestamp,class_id,class_name,confidence,x0,y0,x1,y1
1,0.000,2,car,0.2599,184.05,171.88,204.91,183.75
2,0.050,2,car,0.2755,184.40,171.08,205.11,184.27
14,0.650,2,car,0.3335,207.34,182.54,231.02,202.55
15,0.700,2,car,0.3019,204.92,182.45,230.17,202.49
16,0.750,2,car,0.4902,204.25,180.67,230.49,202.63
17,0.800,2,car,0.3027,203.58,178.74,241.08,202.83
17,0.800,2,car,0.2989,203.22,180.54,229.79,202.64
19,0.900,7,truck,0.3732,202.21,177.95,240.54,202.93
20,0.950,2,car,0.2732,201.62,179.61,238.42,203.32
23,1.100,7,truck,0.2949,199.68,179.29,238.67,203.49
24,1.150,2,car,0.3355,429.88,161.48,497.74,194.06
25,1.200,2,car,0.5451,196.85,180.34,224.16,204.03
25,1.200,2,car,0.3305,196.62,179.05,236.35,204.61
26,1.250,2,car,0.4014,196.33,179.88,223.48,204.26
29,1.400,2,car,0.4693,192.71,179.80,235.81,205.01
29,1.400,2,car,0.3418,168.03,173.69,194.41,189.95
29,1.400,2,car,0.2961,432.33,160.66,504.41,194.52
31,1.500,2,car,0.3284,190.59,181.14,218.37,205.63
32,1.550,2,car,0.3583,187.98,179.23,216.62,205.27
36,1.750,2,car,0.2759,181.39,181.12,211.90,207.62
37,1.800,2,car,0.4230,179.25,176.53,210.07,207.59
38,1.850,2,car,0.3110,151.88,173.26,182.52,188.15
40,1.950,2,car,0.2972,148.30,173.36,177.82,191.23
41,2.000,2,car,0.2502,147.20,172.90,175.61,185.20
42,2.050,2,car,0.2519,143.74,172.47,174.19,188.32
43,2.100,2,car,0.5015,166.36,186.32,199.29,209.97
44,2.150,2,car,0.5652,163.92,176.86,218.86,209.47
44,2.150,2,car,0.3819,139.44,170.58,170.12,184.58
44,2.150,2,car,0.2571,164.05,177.15,197.15,208.88
48,2.350,2,car,0.2656,125.96,171.32,162.42,189.91
48,2.350,2,car,0.2544,154.01,176.70,215.29,211.25
52,2.550,7,truck,0.4335,144.75,176.80,208.57,214.85
53,2.600,7,truck,0.5360,143.12,176.38,207.60,215.64
54,2.650,7,truck,0.3899,140.35,175.75,206.08,216.26
54,2.650,2,car,0.2734,140.35,175.75,206.08,216.26
55,2.700,7,truck,0.4543,137.40,175.51,204.45,216.08
55,2.700,2,car,0.3440,97.02,170.98,144.41,197.82
56,2.750,7,truck,0.5180,135.57,175.05,203.78,216.45
57,2.800,7,truck,0.4088,133.41,176.04,202.56,216.81
57,2.800,2,car,0.4024,89.75,170.22,135.79,202.15
58,2.850,7,truck,0.3197,130.21,175.70,200.68,216.72
60,2.950,7,truck,0.3082,126.49,176.46,199.54,217.43
64,3.150,2,car,0.3285,117.94,178.05,195.95,220.28
66,3.250,7,truck,0.3172,112.81,175.95,193.74,220.46
67,3.300,2,car,0.5084,113.26,176.58,193.73,220.36
78,3.850,0,person,0.3035,233.74,178.75,239.16,191.67
79,3.900,0,person,0.2607,232.79,178.94,238.96,191.43
89,4.400,0,person,0.2809,224.01,178.61,230.37,193.43
95,4.700,7,truck,0.2563,107.14,177.77,189.58,222.41
97,4.800,2,car,0.2960,106.19,180.26,188.50,222.87
100,4.950,2,car,0.4351,106.05,178.06,188.86,223.32
103,5.100,7,truck,0.3829,106.60,178.12,188.70,222.80
103,5.100,2,car,0.2946,106.60,178.12,188.70,222.80
105,5.200,2,car,0.2597,106.78,178.27,188.93,223.79
108,5.350,2,car,0.2887,105.81,178.53,190.45,222.12
113,5.600,2,car,0.7779,105.20,177.15,188.15,220.67
114,5.650,2,car,0.6590,104.80,177.74,188.05,223.36
115,5.700,2,car,0.5508,104.71,178.88,188.15,221.12
116,5.750,2,car,0.7153,104.36,179.75,187.52,222.43
117,5.800,2,car,0.6988,104.74,180.04,187.63,221.49
118,5.850,2,car,0.6906,103.80,179.86,188.07,224.00
119,5.900,2,car,0.4854,104.27,180.38,187.62,222.06
119,5.900,7,truck,0.2816,104.27,180.38,187.62,222.06
120,5.950,2,car,0.5818,104.23,179.09,187.29,223.30
120,5.950,7,truck,0.2791,104.23,179.09,187.29,223.30
121,6.000,2,car,0.7311,104.13,178.75,187.09,222.33
122,6.050,2,car,0.8415,103.97,178.91,187.71,223.28
123,6.100,2,car,0.4526,104.19,180.25,187.76,222.64
123,6.100,7,truck,0.3141,104.19,180.25,187.76,222.64
124,6.150,2,car,0.8775,103.93,179.35,187.41,223.75
124,6.150,2,car,0.3301,191.00,160.71,216.96,179.91
125,6.200,2,car,0.7863,103.90,179.37,187.58,224.08
125,6.200,2,car,0.4947,190.60,160.97,217.15,180.30
126,6.250,2,car,0.7467,103.88,180.44,187.77,223.15
127,6.300,2,car,0.8297,102.10,180.05,187.24,223.77
128,6.350,2,car,0.8628,102.61,179.60,187.89,223.63
129,6.400,2,car,0.8189,102.71,180.37,187.45,222.53
130,6.450,2,car,0.8651,102.76,179.84,187.56,222.43
131,6.500,2,car,0.8839,102.28,179.00,187.46,222.21
132,6.550,2,car,0.5112,102.10,179.85,187.23,222.44
132,6.550,2,car,0.3727,101.91,179.77,187.22,222.71
133,6.600,2,car,0.5206,101.49,179.56,187.44,222.43
133,6.600,2,car,0.3448,101.71,179.70,187.40,222.16
134,6.650,2,car,0.7388,101.39,179.91,187.14,223.11
135,6.700,2,car,0.8356,101.10,180.31,187.05,223.19
136,6.750,2,car,0.7804,99.85,180.04,187.65,222.97
137,6.800,2,car,0.8102,100.79,180.91,186.74,222.86
138,6.850,2,car,0.7680,100.91,180.70,187.18,222.83
139,6.900,2,car,0.6442,100.50,180.90,187.34,222.65
139,6.900,2,car,0.2729,100.54,180.90,187.21,222.66
140,6.950,2,car,0.8304,100.10,180.63,187.40,222.96
141,7.000,2,car,0.8524,100.42,180.60,187.13,222.41
142,7.050,2,car,0.7665,100.24,180.87,187.07,223.16
143,7.100,2,car,0.7647,99.75,180.00,186.61,222.74
144,7.150,2,car,0.7229,98.57,180.40,186.89,223.55
145,7.200,2,car,0.7842,99.83,181.35,186.91,223.76
146,7.250,2,car,0.8873,99.60,180.46,186.77,223.10
147,7.300,2,car,0.8995,98.83,179.73,186.62,222.92
148,7.350,2,car,0.8751,99.19,180.02,186.42,223.04
149,7.400,2,car,0.8989,98.97,180.47,185.91,222.44
150,7.450,2,car,0.8737,98.82,179.95,186.26,223.00
151,7.500,2,car,0.8573,98.62,180.13,186.13,222.54
152,7.550,2,car,0.8676,98.67,180.14,186.32,222.55
153,7.600,2,car,0.8209,97.98,180.05,185.30,222.39
154,7.650,2,car,0.8144,98.29,177.89,185.97,222.63
155,7.700,2,car,0.7620,98.20,179.14,185.96,222.92
156,7.750,2,car,0.8206,98.24,179.90,185.03,222.78
157,7.800,2,car,0.8169,97.77,178.64,185.56,222.74
158,7.850,2,car,0.4784,97.64,177.80,185.33,222.83
158,7.850,7,truck,0.3754,97.64,177.80,185.33,222.83
159,7.900,7,truck,0.5311,97.33,178.33,185.38,223.54
159,7.900,2,car,0.3837,97.33,178.33,185.38,223.54
160,7.950,7,truck,0.5703,97.17,179.85,184.95,223.19
161,8.000,7,truck,0.6690,96.82,178.43,184.97,223.87
162,8.050,2,car,0.5480,96.99,178.39,184.78,223.52
162,8.050,7,truck,0.3931,96.99,178.39,184.78,223.52
163,8.100,7,truck,0.5764,97.45,179.47,184.88,223.76
164,8.150,7,truck,0.6218,97.29,178.74,184.83,223.68
164,8.150,2,car,0.3015,97.29,178.74,184.83,223.68
165,8.200,7,truck,0.6549,97.45,177.71,184.47,223.44
166,8.250,7,truck,0.4084,97.09,178.60,184.45,223.79
168,8.350,7,truck,0.4051,97.06,179.37,184.49,223.62
169,8.400,7,truck,0.2802,97.23,179.92,184.28,223.65
172,8.550,7,truck,0.3259,96.52,181.22,184.05,223.82
173,8.600,7,truck,0.5244,96.45,178.47,184.45,223.69
174,8.650,7,truck,0.3224,96.25,180.09,184.09,223.96
175,8.700,7,truck,0.3307,96.24,179.60,184.28,223.72
180,8.950,7,truck,0.3907,95.80,177.19,183.87,224.40
181,9.000,7,truck,0.6050,95.10,177.41,183.83,224.06
182,9.050,7,truck,0.6400,94.89,177.84,182.77,224.26
183,9.100,7,truck,0.6314,95.59,178.38,183.82,223.95
184,9.150,7,truck,0.4603,94.96,179.19,183.78,223.76
185,9.200,7,truck,0.5133,94.58,180.05,183.57,224.00
186,9.250,7,truck,0.5683,94.58,179.24,182.85,223.86
187,9.300,7,truck,0.5710,94.77,177.65,183.42,224.50
188,9.350,7,truck,0.5651,94.07,177.95,182.65,223.76
189,9.400,7,truck,0.6397,94.26,179.86,183.52,223.89
190,9.450,7,truck,0.4136,93.90,179.78,183.23,225.05
192,9.550,7,truck,0.4604,93.04,179.45,182.95,224.63
193,9.600,7,truck,0.3688,92.72,178.61,182.59,224.12
194,9.650,7,truck,0.2784,92.28,183.74,182.37,225.04
195,9.700,7,truck,0.2945,91.29,177.66,183.22,224.76
196,9.750,7,truck,0.2658,91.91,178.68,182.89,225.69
197,9.800,7,truck,0.3847,91.41,176.90,183.02,224.95
198,9.850,7,truck,0.2832,91.12,184.21,183.01,224.50
199,9.900,7,truck,0.4052,91.01,179.56,182.18,226.05
201,10.000,7,truck,0.5085,90.41,180.67,182.18,226.12
202,10.050,7,truck,0.4800,90.27,176.89,181.64,224.51
203,10.100,7,truck,0.3429,89.51,178.05,182.31,225.30
204,10.150,7,truck,0.5182,89.76,177.57,181.59,225.39
205,10.200,2,car,0.4373,89.78,178.36,181.83,225.62
205,10.200,7,truck,0.3144,89.78,178.36,181.83,225.62
207,10.300,7,truck,0.3696,89.50,177.91,181.75,225.48
207,10.300,2,car,0.2754,89.50,177.91,181.75,225.48
208,10.350,7,truck,0.2651,89.99,180.48,181.63,225.38
210,10.450,7,truck,0.2788,89.01,179.03,181.63,224.60
212,10.550,2,car,0.3917,88.69,177.56,180.79,226.16
212,10.550,7,truck,0.3762,88.69,177.56,180.79,226.16
213,10.600,7,truck,0.3656,88.11,179.88,181.59,225.74
214,10.650,7,truck,0.2542,88.22,180.14,181.34,224.99
215,10.700,7,truck,0.4121,88.70,180.08,180.41,225.41
216,10.750,7,truck,0.4641,88.67,179.47,180.56,225.00
217,10.800,7,truck,0.3784,88.36,177.57,180.22,225.24
218,10.850,7,truck,0.4448,88.05,179.19,180.40,225.42
218,10.850,2,car,0.2651,88.05,179.19,180.40,225.42
219,10.900,7,truck,0.4790,87.89,177.89,181.04,225.60
220,10.950,7,truck,0.6474,87.86,177.42,180.62,225.03
221,11.000,7,truck,0.4947,87.11,179.22,180.76,225.22
222,11.050,7,truck,0.5212,86.98,179.04,180.45,225.35
223,11.100,7,truck,0.6768,86.26,179.20,179.80,225.24
224,11.150,7,truck,0.6088,86.56,178.91,180.30,225.17
225,11.200,7,truck,0.6122,86.69,177.60,179.72,225.64
226,11.250,7,truck,0.5564,86.37,177.65,179.51,225.40
227,11.300,7,truck,0.5226,86.09,177.88,179.58,226.07
227,11.300,2,car,0.2834,86.09,177.88,179.58,226.07
228,11.350,7,truck,0.5238,85.87,178.31,179.44,225.90
229,11.400,7,truck,0.4413,85.07,181.35,179.92,225.76
230,11.450,7,truck,0.3787,85.09,181.57,179.81,225.66
231,11.500,7,truck,0.4893,85.16,179.90,179.56,225.90
232,11.550,7,truck,0.3654,83.66,182.78,179.29,226.51
233,11.600,7,truck,0.4495,84.96,181.03,179.53,225.70
233,11.600,2,car,0.2848,84.96,181.03,179.53,225.70
234,11.650,2,car,0.3723,84.75,179.62,179.58,225.58
234,11.650,7,truck,0.3674,84.75,179.62,179.58,225.58
235,11.700,7,truck,0.5396,84.24,179.04,179.25,225.61
236,11.750,7,truck,0.5035,84.24,181.62,179.08,225.85
237,11.800,7,truck,0.4300,83.94,179.90,179.93,225.65
237,11.800,2,car,0.2960,83.94,179.90,179.93,225.65
238,11.850,7,truck,0.4994,83.75,180.21,179.61,226.04
239,11.900,7,truck,0.5000,83.38,179.04,179.35,226.09
239,11.900,2,car,0.3644,83.38,179.04,179.35,226.09
240,11.950,2,car,0.4707,83.10,181.58,179.37,225.55
240,11.950,7,truck,0.2945,83.10,181.58,179.37,225.55
241,12.000,2,car,0.8234,82.84,180.56,178.41,226.07
242,12.050,2,car,0.7025,82.66,180.01,178.52,226.18
243,12.100,2,car,0.6450,82.51,180.77,178.53,226.41
244,12.150,2,car,0.8628,82.30,180.02,178.62,226.50
